entity,count,IUPACname,cid
SAMARIUM OXIDE,1,oxygen(2-);samarium(3+),159425
SAMS,1,(2S)-2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-amino-3-(1H-imidazol-5-yl)propanoyl]amino]-4-methylsulfanylbutanoyl]amino]-5-(diaminomethylideneamino)pentanoyl]amino]-3-hydroxypropanoyl]amino]propanoyl]amino]-4-methylsulfanylbutanoyl]amino]-3-hydroxypropanoyl]amino]acetyl]amino]-4-methylpentanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-4-methylpentanoyl]amino]-3-methylbutanoyl]amino]hexanoyl]amino]-5-(diaminomethylideneamino)pentanoyl]amino]-5-(diaminomethylideneamino)pentanoic acid,71773161
SAT,1,2-sulfoacetic acid,31257
SAXAGLIPTIN,1,"(1S,3S,5S)-2-[(2S)-2-amino-2-(3-hydroxy-1-adamantyl)acetyl]-2-azabicyclo[3.1.0]hexane-3-carbonitrile",11243969
SCB,1,"5-[5-[[2-anilino-3-(2-methoxyethyl)-4-oxo-1,3-thiazolidin-5-yl]methyl]furan-2-yl]-2-chlorobenzoic acid",16040241
ILC,1,3-[[2-fluoro-4-(3-methoxyphenyl)phenyl]carbamoyl]thiophene-2-carboxylic acid,15942657
IHT,1,"(1R)-3,5,5-trimethyl-4-[(3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-[(1R)-2,6,6-trimethylcyclohex-2-en-1-yl]octadeca-3,5,7,9,11,13,15,17-octaen-1-ynyl]cyclohex-3-en-1-ol",101289802
BFM,1,"3,3,3-trifluoro-2-hydroxy-2-(trifluoromethyl)propanoic acid",2725043
BF,1,"pentacyclo[10.7.1.02,7.08,20.013,18]icosa-1(19),2(7),3,5,8(20),9,11,13,15,17-decaene",9153
BH2,1,"2-amino-6-[(1R,2S)-1,2-dihydroxypropyl]-7,8-dihydro-3H-pteridin-4-one",135398687
BI,1,bismuth,5359367
BETA-LACTAMS,1,azetidin-2-one,136721
"BIS(2,4,6-TRICHLOROPHENYL) OXALATE",1,"bis(2,4,6-trichlorophenyl) oxalate",160567
BIO,1,6-bromo-3-(3-nitroso-1H-indol-2-yl)-1H-indol-2-ol,448949
BICYCLOGERMACRENE,1,"(1S,2E,6E,10R)-3,7,11,11-tetramethylbicyclo[8.1.0]undeca-2,6-diene",13894537
BETA-TERPINEOL,1,1-methyl-4-prop-1-en-2-ylcyclohexan-1-ol,8748
BETA-GUANIDINOPROPIONIC ACID,1,3-(diaminomethylideneamino)propanoic acid,67701
APIGENIN-6-C-GLUCOSIDE-7-O-GLUCOSIDE,1,"5-hydroxy-2-(4-hydroxyphenyl)-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",4636593
BENZAMIDE,1,benzamide,2331
BENZO-12-CROWN-4,1,"2,5,8,11-tetraoxabicyclo[10.4.0]hexadeca-1(16),12,14-triene",586075
BENZENEPROPANOIC ACID,1,3-phenylpropanoic acid,107
BENZENE SULFONIC ACID,1,benzenesulfonic acid,7371
BENA,1,"2-benzhydryloxy-N,N-dimethylethanamine;hydrochloride",8980
BEN,1,benzenecarboximidamide,2332
BENZOATE,1,benzoate,242
BETA-CARBOLINE,1,"9H-pyrido[3,4-b]indole",64961
BENZOTHIADIAZINE,1,"2H-1,2,3-benzothiadiazine",19816131
BEP,1,"2-butyl-2-ethylpropane-1,3-diol",61038
BENZYL ALCOHOL,1,phenylmethanol,244
BENZYDAMINE,1,"3-(1-benzylindazol-3-yl)oxy-N,N-dimethylpropan-1-amine",12555
BENZOXAZOLE,1,"1,3-benzoxazole",9228
BROMELAIN,1,"N-[2-[5-acetamido-6-hydroxy-2-(hydroxymethyl)-4-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-3-yl]oxy-5-[4,5-dihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3-(3,4,5-trihydroxyoxan-2-yl)oxyoxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",74981710
BRIDELIONOSIDE D,1,"(2R,3R,4S,5S,6R)-2-[(2R)-4-[(1S,4S,6R)-4-hydroxy-6-(hydroxymethyl)-2,2-dimethylcyclohexyl]butan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",101426793
BRANCHED CHAIN AMINO ACIDS,1,2-amino-3-methylbutanoic acid;2-amino-3-methylpentanoic acid;2-amino-4-methylpentanoic acid,9886134
BQ788,1,"sodium;(2R)-2-[[(2R)-2-[[(2S)-2-[[(2R,6S)-2,6-dimethylpiperidine-1-carbonyl]amino]-4,4-dimethylpentanoyl]amino]-3-(1-methoxycarbonylindol-3-yl)propanoyl]amino]hexanoate",16759603
BQ123,1,"2-[(3R,6R,9S,12R,15S)-6-(1H-indol-3-ylmethyl)-9-(2-methylpropyl)-2,5,8,11,14-pentaoxo-12-propan-2-yl-1,4,7,10,13-pentazabicyclo[13.3.0]octadecan-3-yl]acetic acid",443289
BISMUTH TUNGSTATE,1,dibismuth;dioxido(dioxo)tungsten,22234745
BRUCITE,1,magnesium;dihydroxide,14791
BSF,1,"disodium;2-hydroxy-5-[4,5,6,7-tetrabromo-1-(4-hydroxy-3-sulfonatophenyl)-3-oxo-2-benzofuran-1-yl]benzenesulfonate",6282
BROMOTHYMOL BLUE,1,"2-bromo-4-[3-(3-bromo-4-hydroxy-2-methyl-5-propan-2-ylphenyl)-1,1-dioxo-2,1lambda6-benzoxathiol-3-yl]-3-methyl-6-propan-2-ylphenol",6450
BROMOCRESOL GREEN,1,"2,6-dibromo-4-[3-(3,5-dibromo-4-hydroxy-2-methylphenyl)-1,1-dioxo-2,1lambda6-benzoxathiol-3-yl]-3-methylphenol",6451
BK,1,berkelium,23971
BIXALOMER,1,"2-(chloromethyl)oxirane;N,N,N',N'-tetrakis(3-aminopropyl)butane-1,4-diamine",25212181
BMIMBF4,1,1-butyl-3-methylimidazol-3-ium;tetrafluoroborate,2734178
BMO,1,"N'-acridin-9-ylpropane-1,3-diamine",11427298
BODIPY DYE,1,"5,11-diethyl-2,2-difluoro-4,6,10,12-tetramethyl-3-aza-1-azonia-2-boranuidatricyclo[7.3.0.03,7]dodeca-1(12),4,6,8,10-pentaene",165430861
BOLDENONE,1,"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-one",13308
ASCORBATE ANION,1,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3-hydroxy-5-oxo-2H-furan-4-olate",54679076
ASCARIDOLE,1,"1-methyl-4-propan-2-yl-2,3-dioxabicyclo[2.2.2]oct-5-ene",10545
ASC,1,4-acetamidobenzenesulfonyl chloride,8481
AS10,1,"(2Z,4E)-5-[(1S)-3-decylsulfanyl-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid",73437628
ASUNAPREVIR,1,"tert-butyl N-[(2S)-1-[(2S,4R)-4-(7-chloro-4-methoxyisoquinolin-1-yl)oxy-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",16076883
ATRIAL NATRIURETIC PEPTIDE,1,"(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-4-amino-2-[[(4R,10S,16S,19S,22S,28S,31S,34S,37S,40S,49S,52R)-52-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-amino-3-hydroxypropanoyl]amino]-4-methylpentanoyl]amino]-5-carbamimidamidopentanoyl]amino]-5-carbamimidamidopentanoyl]amino]-3-hydroxypropanoyl]amino]-3-hydroxypropanoyl]amino]-19-(3-amino-3-oxopropyl)-49-benzyl-28-[(2S)-butan-2-yl]-31,40-bis(3-carbamimidamidopropyl)-34-(carboxymethyl)-16-(hydroxymethyl)-22-methyl-10-(2-methylpropyl)-37-(2-methylsulfanylethyl)-6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51-hexadecaoxo-1,2-dithia-5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50-hexadecazacyclotripentacontane-4-carbonyl]amino]-4-oxobutanoyl]amino]-3-hydroxypropanoyl]amino]-3-phenylpropanoyl]amino]-5-carbamimidamidopentanoyl]amino]-3-(4-hydroxyphenyl)propanoic acid",16129708
ATRACTYLENOLIDE II,1,"(4aS,8aR,9aS)-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",14448070
ATRACTYLENOLIDE I,1,"(4aS,8aS)-3,8a-dimethyl-5-methylidene-4a,6,7,8-tetrahydro-4H-benzo[f][1]benzofuran-2-one",5321018
APYRASE,1,"(3S)-3-[[(2S)-6-amino-2-[[2-[[(2S)-2-[[(2S)-6-amino-2-[[2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[2-[[(2S)-5-amino-2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-amino-5-carbamimidamidopentanoyl]amino]-4-methylpentanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]amino]hexanoyl]amino]-3-phenylpropanoyl]amino]-5-oxopentanoyl]amino]acetyl]amino]propanoyl]amino]-4-methylpentanoyl]amino]-4-methylpentanoyl]amino]acetyl]amino]hexanoyl]amino]-3-phenylpropanoyl]amino]acetyl]amino]hexanoyl]amino]-4-[[(2S)-1-[[(2S)-4-amino-1-[[(2S)-1-[[(2S)-1-[[(2S)-6-amino-1-[[(2S)-6-amino-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[2-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[2-[[2-[[(2S)-1-[[(2S)-1-[[(2S,3R)-1-[[(2S)-5-amino-1-[[(2S)-1-[[(2S,3R)-1-[[(1S)-1-carboxy-2-phenylethyl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-2-oxoethyl]amino]-2-oxoethyl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-2-oxoethyl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-1-oxohexan-2-yl]amino]-1-oxohexan-2-yl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-1,4-dioxobutan-2-yl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-4-oxobutanoic acid",131750176
APREMILAST,1,"N-[2-[(1S)-1-(3-ethoxy-4-methoxyphenyl)-2-methylsulfonylethyl]-1,3-dioxoisoindol-4-yl]acetamide",11561674
APORPHINE,1,"6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline",114911
ARABIC GUM,1,ethane,91333377
ARACHIDONOYLETHANOLAMIDE,1,"(5Z,8Z,11Z,14Z)-N-(2-hydroxyethyl)icosa-5,8,11,14-tetraenamide",5281969
ARACHIDYL,1,"(4R)-4-[(3S,5S,7R,8R,9S,10S,12S,13R,14S,17R)-7,12-dihydroxy-3-(icosanoylamino)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",18738120
ARE,1,"(2R,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6S)-6-[(1R,4S,5S,6R)-4-[[(2R,3S,4S,5R,6R)-4,5-dihydroxy-2-methyl-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]amino]-5,6-dihydroxy-2-(hydroxymethyl)cyclohex-2-en-1-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",4369394
ARGININE VASOPRESSIN,1,"(2S)-1-[(4R,7S,10S,13S,16S,19R)-19-amino-7-(2-amino-2-oxoethyl)-10-(3-amino-3-oxopropyl)-13-benzyl-16-[(4-hydroxyphenyl)methyl]-6,9,12,15,18-pentaoxo-1,2-dithia-5,8,11,14,17-pentazacycloicosane-4-carbonyl]-N-[(2S)-1-[(2-amino-2-oxoethyl)amino]-5-(diaminomethylideneamino)-1-oxopentan-2-yl]pyrrolidine-2-carboxamide",644077
ARS,1,"3,4-dihydroxy-9,10-dioxoanthracene-2-sulfonic acid",8534
ATROPISOMER 1,1,"10-(4-hydroxyphenyl)-8,13,15-triazatetracyclo[9.6.1.02,7.014,18]octadeca-1(18),2,4,6,11,14,16-heptaen-9-one",44605611
BARBITAL,1,"5,5-diethyl-1,3-diazinane-2,4,6-trione",2294
BAL,1,"2,3-bis(sulfanyl)propan-1-ol",3080
BAY 11-7082,1,(E)-3-(4-methylphenyl)sulfonylprop-2-enenitrile,5353431
BAG,1,N-[(2S)-1-amino-5-(diaminomethylideneamino)-1-oxopentan-2-yl]benzamide,188293
BATHOCUPROINE,1,"2,9-dimethyl-4,7-diphenyl-1,10-phenanthroline",65149
BDC,1,9-(butylamino)-N-[2-(dimethylamino)ethyl]acridine-4-carboxamide,446612
BCME,1,chloro(chloromethoxy)methane,10967
BC5,1,4-(4-aminophenyl)benzenesulfonamide,4961927
BBM,1,2-tert-butyl-4-[1-(5-tert-butyl-4-hydroxy-2-methylphenyl)butyl]-5-methylphenol,6815
AWG,1,"2-N-(1H-benzimidazol-2-yl)benzene-1,2-diamine",672245
AZALEATIN,1,"2-(3,4-dihydroxyphenyl)-3,7-dihydroxy-5-methoxychromen-4-one",5281604
AWB,1,"[(2R,3S,6S,7R,8R)-3-[(3-formamido-2-hydroxybenzoyl)amino]-8-hexyl-2,6-dimethyl-4,9-dioxo-1,5-dioxonan-7-yl] 3-methylbutanoate",14957
AURANTIAMIDE ACETATE,1,[(2S)-2-[(2-benzamido-3-phenylpropanoyl)amino]-3-phenylpropyl] acetate,124319
AZD5991,1,"17-chloro-5,13,14,22-tetramethyl-28-oxa-2,9-dithia-5,6,12,13,22-pentazaheptacyclo[27.7.1.14,7.011,15.016,21.020,24.030,35]octatriaconta-1(36),4(38),6,11,14,16,18,20,23,29(37),30,32,34-tridecaene-23-carboxylic acid",131634760
AZELAIC ACID,1,nonanedioic acid,2266
AZO,1,disodium;4-hydroxy-3-[[4-[4-[(1-hydroxy-4-sulfonatonaphthalen-2-yl)diazenyl]-3-methylphenyl]-2-methylphenyl]diazenyl]naphthalene-1-sulfonate,136496666
AZO DYE,1,2-[N-ethyl-4-[[4-[ethyl(2-hydroxyethyl)amino]-2-methylphenyl]diazenyl]-3-methylanilino]ethanol,91719492
AZULENE,1,azulene,9231
B-HYDROXYBUTYRATE,1,(3R)-3-hydroxybutanoic acid,92135
B4C,1,"benzyl N-[(2S)-6-amino-1-[[(2S)-1-[[(2S)-6-amino-1-(1,3-benzoxazol-2-yl)-1,1-dihydroxyhexan-2-yl]amino]-1-oxo-4-phenylbutan-2-yl]amino]-1-oxohexan-2-yl]carbamate",24892832
CGS21680,1,"3-[4-[2-[[6-amino-9-[(2R,3R,4S,5S)-5-(ethylcarbamoyl)-3,4-dihydroxyoxolan-2-yl]purin-2-yl]amino]ethyl]phenyl]propanoic acid",3086599
CF,1,californium,23997
CETRIMIDE,1,trimethyl(tetradecyl)azanium;bromide,14250
CETP,1,4-cyano-4-ethylsulfanylcarbothioylsulfanylpentanoic acid,58283676
CH4N2O,1,formohydrazide,12229
CHLOROTYROSINE,1,(2S)-2-amino-3-(3-chloro-4-hydroxyphenyl)propanoic acid,110992
CHLOROPHYLLS,1,"magnesium;16-ethenyl-11-ethyl-3-methoxycarbonyl-12,17,21,26-tetramethyl-22-[3-oxo-3-[(E)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,24,25-triaza-7-azanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1(23),2(6),4,8(26),9,11,13(25),14,16,18(24),19-undecaen-4-olate",6449992
CHLORAMBUCIL,1,4-[4-[bis(2-chloroethyl)amino]phenyl]butanoic acid,2708
CHIKUSETSUSAPONIN IV,1,"(2S,3S,4R,5R,6R)-6-[[(3S,4aR,6aR,6bS,8aS,12aS,14aR,14bR)-4,4,6a,6b,11,11,14b-heptamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3-[(2S,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxyoxane-2-carboxylic acid",10079497
CHI,1,isocyanatocyclohexane,18502
CEPHRADINE,1,"(6R,7R)-7-[[(2R)-2-amino-2-cyclohexa-1,4-dien-1-ylacetyl]amino]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",38103
CEPHALOSPORINS,1,"(6R,7R)-3-(acetyloxymethyl)-7-[[(5R)-5-amino-5-carboxypentanoyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",65536
CCO,1,"2-[[3-(3-chlorophenyl)-1,2,4-oxadiazol-5-yl]sulfanyl]acetic acid",446195
CCC,1,2-chloroethyl(trimethyl)azanium;chloride,13836
CCAP,1,"(4R,10S,13S,16S,19S,22R)-19-(2-amino-2-oxoethyl)-13-benzyl-10-[(1R)-1-hydroxyethyl]-16-methyl-6,9,12,15,18,21-hexaoxo-22-[[(2S)-3-phenyl-2-[[(2S)-pyrrolidine-2-carbonyl]amino]propanoyl]amino]-1,2-dithia-5,8,11,14,17,20-hexazacyclotricosane-4-carboxamide",101630584
CBL,1,"cobalt;[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,4Z,7S,9Z,12S,13S,14Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl] phosphate",5460183
CBG,1,"2-[(2E)-3,7-dimethylocta-2,6-dienyl]-5-pentylbenzene-1,3-diol",5315659
CDCF,1,"2',7'-dichloro-3',6'-dihydroxy-3-oxospiro[2-benzofuran-1,9'-xanthene]-5-carboxylic acid",132525
CDX,1,"(6R,7R)-7-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",47965
CEFOPERAZONE,1,"(6R,7R)-7-[[(2R)-2-[(4-ethyl-2,3-dioxopiperazine-1-carbonyl)amino]-2-(4-hydroxyphenyl)acetyl]amino]-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",44187
CELLULOSE TRIACETATE,1,"[(2R,3R,4S,5R,6S)-4,5-diacetyloxy-3-[(2S,3R,4S,5R,6R)-3,4,5-triacetyloxy-6-(acetyloxymethyl)oxan-2-yl]oxy-6-[(2R,3R,4S,5R,6S)-4,5,6-triacetyloxy-2-(acetyloxymethyl)oxan-3-yl]oxyoxan-2-yl]methyl acetate",44263853
CEN,1,"(6R,7R)-3-(acetyloxymethyl)-7-(4-carboxybutanoylamino)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",446570
CHLORPROMAZINE HYDROCHLORIDE,1,"3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine;hydrochloride",6240
CLENBUTEROL,1,"1-(4-amino-3,5-dichlorophenyl)-2-(tert-butylamino)ethanol",2783
CITROMITIN,1,"2-(3,4-dimethoxyphenyl)-5,6,7,8-tetramethoxy-2,3-dihydrochromen-4-one",12303287
CITRATE PHOSPHATE DEXTROSE,1,"2-hydroxypropane-1,2,3-tricarboxylic acid;(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal;phosphoric acid",123830
CITICOLINE,1,"[[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] 2-(trimethylazaniumyl)ethyl phosphate",13804
CLOFAZIMINE,1,"N,5-bis(4-chlorophenyl)-3-propan-2-yliminophenazin-2-amine",2794
CHLORZOXAZONE,1,"5-chloro-3H-1,3-benzoxazol-2-one",2733
CNC,1,N-[(1R)-1-naphthalen-1-ylethyl]-3-[3-(trifluoromethyl)phenyl]propan-1-amine,156419
CML,1,(2S)-2-amino-6-(carboxymethylamino)hexanoic acid,123800
CLOMIPRAMINE,1,"3-(2-chloro-5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine",2801
CLOTHIANIDIN,1,"1-[(2-chloro-1,3-thiazol-5-yl)methyl]-3-methyl-2-nitroguanidine",86287519
CLONIXIN,1,2-(3-chloro-2-methylanilino)pyridine-3-carboxylic acid,28718
CLONIDINE,1,"N-(2,6-dichlorophenyl)-4,5-dihydro-1H-imidazol-2-amine",2803
CLONAZEPAM,1,"5-(2-chlorophenyl)-7-nitro-1,3-dihydro-1,4-benzodiazepin-2-one",2802
CITALOPRAM,1,1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile,2771
CISPLATINO,1,azane;dichloroplatinum(2+),441203
CHRYSOERIOL,1,"5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)chromen-4-one",5280666
CHRYSIN-7-SULFATE,1,"[5-hydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)-4-oxochromen-7-yl] hydrogen sulfate",69503899
CHROMIUM OXIDE,1,chromium(3+);oxygen(2-),165971
CHORISMATE,1,"(3R,4R)-3-(1-carboxyethenoxy)-4-hydroxycyclohexa-1,5-diene-1-carboxylic acid",12039
CIS-VACCENIC ACID,1,(Z)-octadec-11-enoic acid,5282761
CHOLINE CHLORIDE,1,2-hydroxyethyl(trimethyl)azanium;chloride,6209
CHOLESTEROL OLEATE,1,"[(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] (Z)-octadec-9-enoate",5283632
CIMETIDINE,1,1-cyano-2-methyl-3-[2-[(5-methyl-1H-imidazol-4-yl)methylsulfanyl]ethyl]guanidine,2756
CINNAMIC ACID,1,(E)-3-phenylprop-2-enoic acid,444539
CIS-4-DECENOYL CARNITINE,1,3-dec-4-enoyloxy-4-(trimethylazaniumyl)butanoate,57357170
CIS-4-OCTENEDIOIC ACID,1,(Z)-oct-4-enedioic acid,11805205
CIS-RESVERATROL,1,"5-[(Z)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol",1548910
CBDP,1,"2-(2-methylphenoxy)-4H-1,3,2lambda5-benzodioxaphosphinine 2-oxide",104993
CADMIUM(II) NITRATE,1,cadmium(2+);dinitrate,25154
CADMIUM SELENIDE,1,selanylidenecadmium,14784
CADMIUM OXIDE,1,oxocadmium,14782
CADAVERINE,1,"pentane-1,5-diamine",273
CA-HMB,1,calcium;3-hydroxy-3-methylbutanoate,9860341
C80,1,"[(2S,4S,7R)-4-amino-8-(butylamino)-5-hydroxy-2,7-dimethyl-8-oxooctyl] 1-benzylindole-3-carboxylate",16214832
C6F14,1,"1,1,1,2,2,3,3,4,4,5,5,6,6,6-tetradecafluorohexane",9639
CALCIUM GLUCONATE,1,"calcium;(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate",9290
CALCIUM MAGNESIUM PHOSPHATE,1,calcium;magnesium;phosphate,168400
CALCIUM HYDROXYPHOSPHATE,1,calcium;hydroxy phosphate,22045918
CALCIUM HYDROXIDE,1,calcium;dihydroxide,14777
CAG,1,"[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [hydroxy-[(1R)-1-(2-nitrophenyl)ethoxy]phosphoryl] hydrogen phosphate",135509080
CALCIUM DISODIUM ETHYLENEDIAMINETETRAACETATE,1,calcium;disodium;2-[2-[bis(carboxylatomethyl)amino]ethyl-(carboxylatomethyl)amino]acetate,6093170
CALCIUM DIPICOLINATE,1,calcium;pyridine-2-carboxylate,9900462
CALCEIN,1,"2-[[7'-[[bis(carboxymethyl)amino]methyl]-3',6'-dihydroxy-3-oxospiro[2-benzofuran-1,9'-xanthene]-2'-yl]methyl-(carboxymethyl)amino]acetic acid",65079
C6,1,hex-1-ene,11597
C22:0,1,docosanoic acid,8215
BUTYRYLCHOLINE,1,2-butanoyloxyethyl(trimethyl)azanium,17233
C225,1,"methyl (4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate",14122979
C-19,1,"4-bromo-9a-butyl-7-hydroxy-2,9-dihydro-1H-fluoren-3-one",9884138
C-21,1,butyl N-[3-[4-(imidazol-1-ylmethyl)phenyl]-5-(2-methylpropyl)thiophen-2-yl]sulfonylcarbamate,9804984
C-3,1,"6-[(3,4,5-trimethoxybenzoyl)amino]hexanoic acid",30627
C-5,1,trimethyl-[5-(trimethylazaniumyl)pentyl]azanium;dibromide,10919
C-P,1,(2S)-1-[(2R)-2-amino-3-sulfanylpropanoyl]pyrrolidine-2-carboxylic acid,3037777
C-S,1,(2S)-2-[[(2R)-2-amino-3-sulfanylpropanoyl]amino]-3-hydroxypropanoic acid,54532705
C-TELOPEPTIDE,1,(4S)-4-amino-5-[[(2S)-6-amino-1-[[(2S)-1-[[(2S)-1-[[(2S)-3-carboxy-1-[[2-[[2-[[(1S)-1-carboxy-4-(diaminomethylideneamino)butyl]amino]-2-oxoethyl]amino]-2-oxoethyl]amino]-1-oxopropan-2-yl]amino]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-5-oxopentanoic acid,10306403
C12,1,(Z)-14-methylpentadec-2-enoic acid,92136105
C12:1,1,(E)-dodec-2-enoic acid,5282729
C16:1,1,hexadec-15-enoic acid,11680418
C16CERAMIDE,1,"N-(1,3-dihydroxyoctadec-4-en-2-yl)hexadecanamide",2498
C1A,1,"[4-[[N-(diaminomethylidene)carbamimidoyl]sulfanylmethyl]-2,5-dimethylphenyl]methyl N-(diaminomethylidene)carbamimidothioate",9543473
